HlyAirTmp (F),HlyDewPnt (F),HlyEto (in),HlyNetRad (Ly/day),HlyAsceEto (in),HlyAsceEtr (in),HlyPrecip (in),HlyRelHum (%),HlyResWind (MPH),HlySoilTmp (F),HlySolRad (Ly/day),HlyVapPres (mBars),HlyWindDir (°),HlyWindSpd (MPH)
1.0,1.0,0.4583333333333333,1.0,0.6388888888888888,0.0,1.0,1.0,0.5972222222222222,1.0,1.0,1.0,0.9861111111111112,0.6944444444444444
1.0,1.0,0.9166666666666666,1.0,0.875,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,0.9722222222222222,0.9861111111111112
1.0,0.1388888888888889,0.9583333333333334,1.0,0.9444444444444444,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0
1.0,0.9861111111111112,0.7916666666666666,1.0,0.9166666666666666,0.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,0.7916666666666666,1.0
1.0,0.9861111111111112,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9027777777777778,0.6527777777777778,0.9861111111111112,0.8888888888888888,0.0,1.0,0.5555555555555556,0.9722222222222222,1.0,1.0,0.9166666666666666,1.0,0.9444444444444444
1.0,1.0,0.7777777777777778,0.9861111111111112,0.8194444444444444,0.0,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,0.9722222222222222,0.9027777777777778
1.0,1.0,0.7638888888888888,1.0,0.7916666666666666,0.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,0.6805555555555556
0.9166666666666666,0.9166666666666666,0.8055555555555556,1.0,0.75,0.0,1.0,0.9166666666666666,0.5833333333333334,1.0,0.9861111111111112,1.0,1.0,0.6805555555555556
1.0,1.0,0.875,1.0,0.9444444444444444,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.8611111111111112
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7361111111111112,1.0,1.0,1.0,1.0,0.7083333333333334
1.0,1.0,0.9861111111111112,1.0,0.9583333333333334,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9305555555555556,0.9305555555555556,1.0,0.9861111111111112,0.9444444444444444,0.0,0.9583333333333334,0.9305555555555556,0.9861111111111112,1.0,0.9583333333333334,0.9861111111111112,1.0,1.0
1.0,1.0,0.8333333333333334,1.0,0.8611111111111112,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,0.9861111111111112
1.0,1.0,0.5555555555555556,1.0,0.625,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.4444444444444444
1.0,1.0,0.9583333333333334,1.0,0.9861111111111112,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,1.0
